Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,MatchID
27,Sun,3/6/2022,17:05 (00:05),Lille,2.1,4–0,0.9,Clermont Foot,"33,515",Stade Pierre-Mauroy,Thomas Léonard,2122112
27,Sun,3/6/2022,15:00 (22:00),Bordeaux,0.7,0–2,2.4,Troyes,"20,287",Stade Matmut-Atlantique,Ruddy Buquet,2122113
27,Sun,3/6/2022,15:00 (22:00),Rennes,2.1,2–0,0.5,Angers,"27,693",Roazhon Park,Benoît Millot,2122114
27,Sun,3/6/2022,15:00 (22:00),Reims,0.8,1–1,0.9,Strasbourg,"10,405",Stade Auguste-Delaune II,Jérémie Pignard,2122115
27,Sun,3/6/2022,15:00 (22:00),Nantes,1.8,2–0,0.2,Montpellier,"21,589",Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,2122116
27,Sun,3/6/2022,13:00 (20:00),Saint-Étienne,1.4,1–0,0.7,Metz,"35,706",Stade Geoffroy-Guichard,Jeremy Stinat,2122117
27,Sat,3/5/2022,21:00 (04:00),Nice,1,1–0,0.8,Paris S-G,"31,949",Stade de Nice,Willy Delajod,2122118
27,Sat,3/5/2022,17:00 (00:00),Lens,1.8,0–1,0.5,Brest,"36,305",Stade Bollaert-Delelis,Johan Hamel,2122119
27,Fri,3/4/2022,21:00 (04:00),Lorient,1.7,1–4,2.6,Lyon,"13,497",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,2122120
26,Sun,2/27/2022,20:45 (03:45),Lyon,1.7,0–1,0.8,Lille,"42,647",Groupama Stadium,Clément Turpin,2122121
26,Sun,2/27/2022,17:05 (00:05),Troyes,1.4,1–1,1.2,Marseille,"16,871",Stade de l'Aube,François Letexier,2122122
26,Sun,2/27/2022,15:00 (22:00),Brest,0.2,0–1,2.3,Lorient,"14,050",Stade Francis-Le Blé,Benoît Bastien,2122123
26,Sun,2/27/2022,15:00 (22:00),Clermont Foot,0.7,1–1,1,Bordeaux,"12,032",Stade Gabriel Montpied,Eric Wattellier,2122124
26,Sun,2/27/2022,15:00 (22:00),Metz,0.5,0–0,0.8,Nantes,"15,851",Stade Saint-Symphorien,Florent Batta,2122125
26,Sun,2/27/2022,15:00 (22:00),Angers,0.7,1–2,0.6,Lens,"9,499",Stade Raymond Kopa,Thomas Léonard,2122126
26,Sun,2/27/2022,13:00 (20:00),Monaco,1.9,1–2,1.4,Reims,"3,982",Stade Louis II.,Benoît Millot,2122127
26,Sat,2/26/2022,21:00 (04:00),Paris S-G,2.6,3–1,1,Saint-Étienne,"45,000",Parc des Princes,Pierre Gaillouste,2122128
26,Sat,2/26/2022,17:00 (00:00),Strasbourg,1.1,0–0,0.2,Nice,"25,150",Stade de la Meinau,Stéphanie Frappart,2122129
26,Fri,2/25/2022,21:00 (04:00),Montpellier,1.1,2–4,2,Rennes,"10,000",Stade de la Mosson,Amaury Delerue,2122130
25,Sun,2/20/2022,20:45 (03:45),Marseille,1.6,0–2,0.7,Clermont Foot,"53,840",Orange Vélodrome,Willy Delajod,2122131
25,Sun,2/20/2022,17:05 (00:05),Bordeaux,0.6,1–1,1.6,Monaco,"29,557",Stade Matmut-Atlantique,Jérémie Pignard,2122132
25,Sun,2/20/2022,15:00 (22:00),Lorient,0.9,0–1,0.5,Montpellier,"10,135",Stade Yves Allainmat - Le Moustoir,Jeremy Stinat,2122133
25,Sun,2/20/2022,15:00 (22:00),Rennes,3.1,4–1,0.7,Troyes,"22,967",Roazhon Park,Clément Turpin,2122134
25,Sun,2/20/2022,15:00 (22:00),Reims,0.8,1–1,2,Brest,"9,307",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,2122135
25,Sun,2/20/2022,15:00 (22:00),Saint-Étienne,1.3,2–2,0.9,Strasbourg,"24,897",Stade Geoffroy-Guichard,Antony Gautier,2122136
25,Sun,2/20/2022,13:00 (20:00),Nice,0.9,1–0,1,Angers,"18,257",Stade de Nice,Romain Lissorgue,2122137
25,Sat,2/19/2022,21:00 (04:00),Nantes,2.5,3–1,3.9,Paris S-G,"35,500",Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,2122138
25,Sat,2/19/2022,17:00 (00:00),Lens,1.1,1–1,1.3,Lyon,"36,624",Stade Bollaert-Delelis,Jérôme Brisard,2122139
25,Fri,2/18/2022,21:00 (04:00),Lille,1.8,0–0,0.4,Metz,"30,384",Stade Pierre-Mauroy,Bastien Dechepy,2122140
24,Sun,2/13/2022,20:45 (03:45),Metz,0.8,1–2,1.6,Marseille,"25,482",Stade Saint-Symphorien,Eric Wattellier,2122141
24,Sun,2/13/2022,17:05 (00:05),Lens,2.1,3–2,0.9,Bordeaux,"32,662",Stade Bollaert-Delelis,François Letexier,2122142
24,Sun,2/13/2022,15:00 (22:00),Clermont Foot,0.8,1–2,0.8,Saint-Étienne,"12,131",Stade Gabriel Montpied,Ruddy Buquet,2122143
24,Sun,2/13/2022,15:00 (22:00),Nantes,0.7,1–0,0.7,Reims,"14,304",Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,2122144
24,Sun,2/13/2022,15:00 (22:00),Brest,3,5–1,0.4,Troyes,"10,600",Stade Francis-Le Blé,Florent Batta,2122145
24,Sun,2/13/2022,15:00 (22:00),Angers,0.8,0–1,0.3,Strasbourg,"6,521",Stade Raymond Kopa,Pierre Gaillouste,2122146
24,Sun,2/13/2022,13:00 (20:00),Monaco,1.4,0–0,0.2,Lorient,"3,963",Stade Louis II.,Bastien Dechepy,2122147
24,Sat,2/12/2022,21:00 (04:00),Lyon,2.7,2–0,0.1,Nice,"41,974",Groupama Stadium,Benoît Millot,2122148
24,Sat,2/12/2022,17:00 (00:00),Montpellier,1.1,0–1,1.5,Lille,"11,784",Stade de la Mosson,Stéphanie Frappart,2122149
24,Fri,2/11/2022,21:00 (04:00),Paris S-G,1.2,1–0,1,Rennes,"47,000",Parc des Princes,Benoît Bastien,2122150
23,Sun,2/6/2022,20:45 (03:45),Lille,1.4,1–5,3.6,Paris S-G,"48,437",Stade Pierre-Mauroy,François Letexier,2122151
23,Sun,2/6/2022,17:00 (00:00),Rennes,2.4,2–0,0.3,Brest,"25,409",Roazhon Park,Johan Hamel,2122152
23,Sun,2/6/2022,15:00 (22:00),Strasbourg,1.8,1–0,0.6,Nantes,"22,240",Stade de la Meinau,Amaury Delerue,2122153
23,Sun,2/6/2022,15:00 (22:00),Troyes,0.7,0–0,0.5,Metz,"7,227",Stade de l'Aube,Pierre Gaillouste,2122154
23,Sun,2/6/2022,15:00 (22:00),Nice,1.2,0–1,1.6,Clermont Foot,"18,022",Stade de Nice,Jérôme Brisard,2122155
23,Sun,2/6/2022,15:00 (22:00),Reims,2.3,5–0,0.2,Bordeaux,"8,858",Stade Auguste-Delaune II,Antony Gautier,2122156
23,Sun,2/6/2022,13:00 (20:00),Lorient,1.6,2–0,0.6,Lens,"10,687",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,2122157
